experiment,run,phase,elapsed_between_snapshots_s,access_rx_packets_delta,core_tx_packets_delta,access_rx_bytes_delta,core_tx_bytes_delta,estimated_access_rx_mbps_expected_window,estimated_core_tx_mbps_expected_window,estimated_access_rx_mbps_elapsed_window,estimated_core_tx_mbps_elapsed_window,pdr_to_gtpu_delta,pdr_fail_delta,gtpu_decap_delta,app_qer_pass_delta,app_qer_meter_red_delta,app_qer_fail_delta,session_qer_meter_red_delta,far_forward_delta,far_fail_delta,route_forward_delta,bad_route_delta,n3_rx_packets_delta,n6_tx_packets_delta,n3_rx_dropped_delta,n6_tx_dropped_delta,pfcp_sessions_before,pfcp_sessions_after,trex_has_error,trex_has_job_done,health_status,notes
e1_static,run_01,A,86.0,22857061.0,22857060.0,4708554446.0,3885700200.0,627.8072594666667,518.09336,438.00506474418603,361.4604837209302,22857060,0,22857060,22857060,0,0,0,22857060,0,22857060,0,22857061,22857060,0,0,5.0,5.0,False,False,OK,clean
e1_static,run_01,B,88.0,34285623.0,24799685.0,7062838338.0,4215946450.0,941.7117784,562.1261933333334,642.0762125454545,383.26785909090904,34285623,0,34285623,24799686,9485937,0,1,24799685,0,24799685,0,34285623,24799685,0,0,5.0,5.0,False,False,OK,clean
e1_static,run_01,C,89.0,39999901.0,28688154.0,8239979486.0,4876986180.0,1098.6639314666668,650.264824,740.6723133483147,438.3807802247191,39999900,0,39999900,28688156,11311744,0,2,28688154,0,28688154,0,39999901,28688154,0,0,5.0,5.0,False,False,OK,clean
e1_static,run_01,D,87.0,22857004.0,22857004.0,4708542824.0,3885690680.0,627.8057098666667,518.0920906666666,432.9694550804598,357.30489011494257,22857004,0,22857004,22857004,0,0,0,22857004,0,22857004,0,22857004,22857004,58,0,5.0,5.0,False,False,WARN,"tiny NIC drops n3_rx=58, n6_tx=0, rate=0.000001"
e1_static,run_02,A,84.0,22857063.0,22857062.0,4708554858.0,3885700540.0,627.8073144,518.0934053333333,448.433796,370.0667180952381,22857062,0,22857062,22857062,0,0,0,22857062,0,22857062,0,22857063,22857062,0,0,5.0,5.0,False,False,OK,clean
e1_static,run_02,B,84.0,34284859.0,24799529.0,7062680954.0,4215919930.0,941.6907938666667,562.1226573333333,672.6362813333334,401.5161838095238,34284859,0,34284859,24799530,9485329,0,1,24799529,0,24799529,0,34284859,24799529,762,0,5.0,5.0,False,False,WARN,"tiny NIC drops n3_rx=762, n6_tx=0, rate=0.000013"
e1_static,run_02,C,85.0,39999904.0,28685351.0,8239980104.0,4876509670.0,1098.6640138666667,650.2012893333334,775.5275392000001,458.965616,39999903,0,39999903,28685353,11314550,0,2,28685351,0,28685351,0,39999904,28685351,0,0,5.0,5.0,False,False,OK,clean
e1_static,run_02,D,85.0,22857061.0,22857061.0,4708554566.0,3885700370.0,627.8072754666667,518.0933826666667,443.1580768,365.712976,22857061,0,22857061,22857061,0,0,0,22857061,0,22857061,0,22857061,22857061,0,0,5.0,5.0,False,False,OK,clean
e1_static,run_03,A,84.0,22857062.0,22857061.0,4708554652.0,3885700370.0,627.8072869333333,518.0933826666667,448.43377638095234,370.0667019047619,22857061,0,22857061,22857061,0,0,0,22857061,0,22857061,0,22857062,22857061,0,0,5.0,5.0,False,False,OK,clean
e1_static,run_03,B,92.0,34285621.0,24800827.0,7062837926.0,4216140590.0,941.7117234666667,562.1520786666666,614.1598196521738,366.62092086956517,34285621,0,34285621,24800828,9484793,0,1,24800827,0,24800827,0,34285621,24800827,0,0,5.0,5.0,False,False,OK,clean
e1_static,run_03,C,85.0,39999904.0,28686562.0,8239980104.0,4876715540.0,1098.6640138666667,650.2287386666666,775.5275392000001,458.984992,39999903,0,39999903,28686564,11313339,0,2,28686562,0,28686562,0,39999904,28686562,0,0,5.0,5.0,False,False,OK,clean
e1_static,run_03,D,84.0,22857062.0,22857062.0,4708554772.0,3885700540.0,627.8073029333333,518.0934053333333,448.43378780952384,370.0667180952381,22857062,0,22857062,22857062,0,0,0,22857062,0,22857062,0,22857062,22857062,0,0,5.0,5.0,False,False,OK,clean
e1_static,run_04,A,84.0,22857063.0,22857062.0,4708554858.0,3885700540.0,627.8073144,518.0934053333333,448.433796,370.0667180952381,22857062,0,22857062,22857062,0,0,0,22857062,0,22857062,0,22857062,22857062,0,0,5.0,5.0,False,False,OK,clean
