phase,windows,decisions,status,access_rx_packets,core_tx_packets,app_qer_meter_red_packets,mean_offered_mbps,mean_delivered_mbps,mean_policing_ratio,pdr_fail,far_fail,bad_route,n3_rx_drops,n6_tx_drops,action_count,fallback_count,tool_failure_count,mean_decision_latency_ms,mean_total_tokens,notes,run
A,6,6,OK,22857091,22857090,0,627.8080834666666,518.09404,0.0,0,0,0,0,0,0,0,0,3751.724044481913,793,clean,run_01
B,6,6,WARN,34285269,23447223,9477754,941.7020552,531.470388,0.27643808291450117,0,0,0,375,0,6,0,0,4418.603142102559,927.1666666666666,tiny NIC drops 0.000006,run_01
C,6,6,WARN,39999797,25840766,11293298,1098.6610749333333,585.7240293333333,0.2823338893832764,0,0,0,122,0,6,0,0,4562.375903129578,938.1666666666666,tiny NIC drops 0.000002,run_01
D,6,6,WARN,22857092,22857090,0,627.8080949333333,518.09404,0.0,0,0,0,0,0,1,2,0,3931.1369260152183,812.8333333333334,fallback used,run_01
A,6,6,OK,22857091,22857090,0,627.8080834666666,518.09404,0.0,0,0,0,0,0,0,0,0,4090.058922767639,800.5,clean,run_02
B,6,6,WARN,34285641,23447794,9477556,941.7122568,531.4833306666667,0.27642931559634526,0,0,0,4,0,6,0,0,4374.285618464152,925.8333333333334,tiny NIC drops 0.000000,run_02
C,6,6,OK,39999919,25841120,11292998,1098.6644258666668,585.7320533333334,0.28232552876733397,0,0,0,0,0,6,0,0,4580.764532089233,938.3333333333334,clean,run_02
D,6,6,WARN,22857091,22857090,0,627.8080834666666,518.09404,0.0,0,0,0,0,0,1,4,0,4005.2703221639,833.6666666666666,fallback used,run_02
A,6,6,WARN,22856962,22856961,0,627.8045402666667,518.0911159999999,0.0,0,0,0,129,0,0,0,0,3945.687691370646,798.1666666666666,tiny NIC drops 0.000003,run_03
B,6,6,OK,34285645,23446029,9479798,941.7123666666668,531.443324,0.2764946751474174,0,0,0,0,0,6,0,0,4504.746317863464,926.5,clean,run_03
C,6,6,OK,39999919,25846477,11287813,1098.6644258666668,585.8534786666667,0.2821959035016022,0,0,0,0,0,6,0,0,4562.89001305898,938.1666666666666,clean,run_03
D,6,6,WARN,22857074,22857074,0,627.8076325333333,518.0936773333333,0.0,0,0,0,0,0,0,6,0,3955.889582633972,838.3333333333334,fallback used,run_03
A,6,6,OK,22857067,22857066,0,627.8074242666667,518.093496,0.0,0,0,0,0,0,0,0,0,3743.9564863840737,795,clean,run_04
B,6,6,WARN,34281108,23444125,9477454,941.5877664,531.4001666666667,0.27646287744298303,0,0,0,4512,0,6,0,0,4460.445880889893,926.6666666666666,tiny NIC drops 0.000078,run_04
C,6,6,OK,39999919,25838596,11295470,1098.6644258666668,585.6748426666667,0.28238732889402424,0,0,0,0,0,6,0,0,4665.960431098938,940.1666666666666,clean,run_04
D,6,6,WARN,22857067,22857066,0,627.8074242666667,518.093496,0.0,0,0,0,0,0,1,3,0,3950.3461122512817,827.1666666666666,fallback used,run_04
A,6,6,WARN,22856042,22856040,0,627.7792549333333,518.07024,0.0,0,0,0,1026,0,0,0,0,3763.7802362442017,796.1666666666666,tiny NIC drops 0.000022,run_05
B,6,6,OK,34285621,23448424,9476503,941.7117074666667,531.4976106666667,0.27639876426326837,0,0,0,0,0,6,0,0,4453.663150469462,924.8333333333334,clean,run_05
C,6,6,OK,39999919,25838114,11295974,1098.6644258666668,585.6639173333333,0.28239992891985427,0,0,0,0,0,6,0,0,4598.488171895345,939,clean,run_05
D,6,6,WARN,22857067,22857066,0,627.8074242666667,518.093496,0.0,0,0,0,0,0,0,6,0,3959.0371449788413,840,fallback used,run_05
A,6,6,OK,22857067,22857066,0,627.8074242666667,518.093496,0.0,0,0,0,0,0,0,0,0,3770.5109119415283,795,clean,run_06
B,6,6,OK,34285621,23447453,9478087,941.7117074666667,531.4756013333333,0.27644496439031874,0,0,0,0,0,6,0,0,4425.013184547424,925,clean,run_06
C,6,6,OK,39999919,25834101,11300113,1098.6644258666668,585.572956,0.2825034041319785,0,0,0,0,0,6,0,0,4605.84835211436,939.6666666666666,clean,run_06
D,6,6,WARN,22857066,22857066,0,627.8074128,518.093496,0.0,0,0,0,0,0,0,6,0,3970.547159512838,839,fallback used,run_06
A,6,6,OK,22857067,22857066,0,627.8074242666667,518.093496,0.0,0,0,0,0,0,0,0,0,3775.0843365987143,795,clean,run_07
B,6,6,OK,34285621,23446650,9479002,941.7117074666667,531.4574,0.2764716519637096,0,0,0,0,0,6,0,0,4459.374666213989,925.5,clean,run_07
C,6,6,WARN,39999005,25838152,11294979,1098.6393053333334,585.6647786666666,0.28238150926109706,0,0,0,915,0,6,0,0,4609.713037808736,938.8333333333334,tiny NIC drops 0.000014,run_07
D,6,6,WARN,22857066,22857066,0,627.8074128,518.093496,0.0,0,0,0,0,0,0,6,0,3947.908123334249,839,fallback used,run_07
A,6,6,OK,22857066,22857066,0,627.8074128,518.093496,0.0,0,0,0,0,0,0,0,0,3734.9849939346313,794,clean,run_08
B,6,6,OK,34285621,23447055,9479020,941.7117074666667,531.46658,0.27647217696515336,0,0,0,0,0,6,0,0,4491.744915644328,925.5,clean,run_08
C,6,6,WARN,39999434,25839624,11294079,1098.6511045333334,585.698144,0.28235597977803195,0,0,0,485,0,6,0,0,4607.41659005483,938.3333333333334,tiny NIC drops 0.000007,run_08
D,6,6,WARN,22857067,22857066,0,627.8074242666667,518.093496,0.0,0,0,0,0,0,0,6,0,3866.141200065613,840,fallback used,run_08
A,6,6,OK,22857068,22857066,0,627.8074357333334,518.093496,0.0,0,0,0,0,0,0,0,0,3782.915989557902,796,clean,run_09
B,6,6,WARN,34285372,23446346,9479381,941.7048682666666,531.4505093333333,0.2764847145617304,0,0,0,249,0,6,0,0,4478.505492210388,925.5,tiny NIC drops 0.000004,run_09
C,6,6,OK,39999919,25836211,11297867,1098.6644258666668,585.6207826666666,0.28244725401687076,0,0,0,0,0,6,0,0,4707.023739814758,940.5,clean,run_09
D,6,6,WARN,22857068,22857066,0,627.8074357333334,518.093496,0.0,0,0,0,0,0,1,5,0,4045.9206899007163,842.8333333333334,fallback used,run_09
A,6,6,OK,22857066,22857066,0,627.8074128,518.093496,0.0,0,0,0,0,0,0,0,0,3803.8127422332764,794,clean,run_10
