experiment,controller_group,model,gpu,prefix_cache,run,phase,health_status,duration_s,windows,offered_mbps,delivered_mbps,access_rx_packets,core_tx_packets,app_qer_red_packets,policing_ratio,pdr_fail,far_fail,bad_route,n3_rx_drops,n6_tx_drops,action_count,fallback_count,tool_failure_count,oscillation_count,mean_llm_latency_ms,mean_total_tokens,notes,source_campaign
e1_static,baseline,,,,run_01,A,OK,86.0,,627.8072594666667,518.09336,22857061.0,22857060.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e1_static,baseline,,,,run_01,B,OK,88.0,,941.7117784,562.1261933333334,34285623.0,24799685.0,9485937,0.2766738991442565,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e1_static,baseline,,,,run_01,C,OK,89.0,,1098.6639314666668,650.264824,39999901.0,28688154.0,11311744,0.28279430698576746,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e1_static,baseline,,,,run_01,D,WARN,87.0,,627.8057098666667,518.0920906666666,22857004.0,22857004.0,0,0.0,0,0,0,58,0,,,,,,,"tiny NIC drops n3_rx=58, n6_tx=0, rate=0.000001",/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e1_static,baseline,,,,run_02,A,OK,84.0,,627.8073144,518.0934053333333,22857063.0,22857062.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e1_static,baseline,,,,run_02,B,WARN,84.0,,941.6907938666667,562.1226573333333,34284859.0,24799529.0,9485329,0.2766623307390589,0,0,0,762,0,,,,,,,"tiny NIC drops n3_rx=762, n6_tx=0, rate=0.000013",/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e1_static,baseline,,,,run_02,C,OK,85.0,,1098.6640138666667,650.2012893333334,39999904.0,28685351.0,11314550,0.28286443594625715,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e1_static,baseline,,,,run_02,D,OK,85.0,,627.8072754666667,518.0933826666667,22857061.0,22857061.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e1_static,baseline,,,,run_03,A,OK,84.0,,627.8072869333333,518.0933826666667,22857062.0,22857061.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e1_static,baseline,,,,run_03,B,OK,92.0,,941.7117234666667,562.1520786666666,34285621.0,24800827.0,9484793,0.2766405485261591,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
